,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
312,H6WI08155,MICHAEL GALLAGHER,GALLAGHER,REP,3457,2226,768,367,96,1678,953,574,252,2928,144,52,20,2,0,311,76731.687,WI-08,0.4853919583453862,0.8469771478160255,0.6439109054093144
313,H6WY00159,ELIZABETH CHENEY,CHENEY,REP,6148,3818,1452,650,228,2949,1653,1027,519,5094,290,88,41,4,0,631,76616.2942,WY-AL,0.47966818477553674,0.8285621340273259,0.6210149642160052
315,H8AZ01104,ANN KIRKPATRICK,KIRKPATRICK,DEM,8220,6083,1390,569,178,3754,1934,1418,1114,6636,423,121,56,14,0,970,72697.9478,AZ-02,0.45669099756690995,0.8072992700729927,0.7400243309002433
316,H8AZ05154,JOAN GREENE,GREENE,DEM,1897,1446,322,112,17,986,468,312,131,1598,56,18,6,0,0,219,76512.7812,AZ-05,0.5197680548234054,0.8423827095413812,0.7622561939905114
317,H8AZ06103,ANITA MALIK,MALIK,DEM,1545,1385,99,45,16,1008,272,185,80,1426,31,9,4,0,0,75,83852.9922,AZ-06,0.6524271844660194,0.9229773462783172,0.8964401294498382
318,H8AZ08083,HIRAL TIPIRNENI,TIPIRNENI,DEM,10058,7920,1485,525,128,5513,2114,1545,886,8435,335,139,51,6,0,1092,80680.8347,AZ-06,0.5481208987870352,0.83863591171207,0.7874328892423941
319,H8AZ08158,DEBBIE LESKO,LESKO,REP,6210,3795,1513,672,230,2838,1698,1102,572,5164,297,80,38,4,0,627,74140.5038,AZ-08,0.4570048309178744,0.8315619967793881,0.6111111111111112
320,H8AZ09040,GREG STANTON,STANTON,DEM,2644,2116,343,138,47,1058,730,504,352,2167,149,22,10,10,0,286,71130.8464,AZ-09,0.4001512859304085,0.8195915279878971,0.800302571860817
321,H8CA01257,AUDREY DENNEY,DENNEY,DEM,5960,3885,1415,426,234,1309,1586,2508,557,5377,93,29,37,1,0,423,62469.5711,CA-01,0.21963087248322147,0.9021812080536913,0.6518456375838926
322,H8CA04152,THOMAS MCCLINTOCK,MCCLINTOCK,REP,1149,858,200,66,25,789,242,84,34,845,53,0,28,0,0,223,91880.6335,CA-04,0.6866840731070496,0.7354221061792864,0.7467362924281984
